sexo,escol,Tam_loc,agg_authoritarian_predisposition,agg_democratic_legitimacy_support,agg_institutional_trust_and_electoral_confidence,agg_perceived_political_influence_of_actors,agg_political_efficacy_and_engagement
1.0,4.0,1.0,2.2857142857142856,3.3225806451612905,2.875,8.553571428571429,3.1315789473684212
2.0,1.0,2.0,2.928571428571429,2.741935483870968,2.5,9.357142857142858,3.8421052631578947
1.0,5.0,1.0,3.7857142857142856,3.3225806451612905,5.5,10.0,2.6578947368421053
1.0,1.0,3.0,2.5,2.4516129032258065,3.625,9.357142857142858,2.4210526315789473
1.0,1.0,1.0,3.357142857142857,1.870967741935484,2.5,10.0,2.8947368421052637
2.0,2.0,2.0,1.8571428571428572,2.741935483870968,2.125,8.875,2.4210526315789473
2.0,2.0,1.0,2.071428571428571,2.161290322580645,2.125,9.035714285714285,3.1315789473684212
2.0,2.0,1.0,2.2857142857142856,2.4516129032258065,1.75,8.392857142857142,3.605263157894737
2.0,1.0,2.0,2.928571428571429,3.032258064516129,2.875,9.517857142857142,3.605263157894737
1.0,2.0,4.0,2.2857142857142856,2.161290322580645,2.125,9.196428571428573,2.8947368421052637
2.0,1.0,3.0,1.8571428571428572,2.741935483870968,1.75,9.517857142857142,2.4210526315789473
2.0,3.0,1.0,2.928571428571429,3.903225806451613,3.25,9.035714285714285,3.1315789473684212
1.0,2.0,4.0,1.8571428571428572,2.161290322580645,3.25,10.0,2.6578947368421053
2.0,2.0,1.0,2.5,3.032258064516129,3.625,8.714285714285714,2.6578947368421053
2.0,1.0,2.0,2.071428571428571,2.741935483870968,3.625,8.553571428571429,4.078947368421053
2.0,3.0,1.0,2.7142857142857144,2.4516129032258065,2.5,9.035714285714285,3.605263157894737
1.0,2.0,1.0,3.5714285714285716,4.483870967741936,1.75,9.357142857142858,4.552631578947368
2.0,3.0,2.0,1.4285714285714284,1.870967741935484,1.0,9.196428571428573,2.1842105263157894
2.0,3.0,1.0,2.5,2.4516129032258065,1.75,10.0,3.605263157894737
1.0,4.0,2.0,3.142857142857143,2.741935483870968,2.5,9.517857142857142,2.8947368421052637
1.0,3.0,4.0,1.4285714285714284,2.741935483870968,5.125,8.875,2.6578947368421053
1.0,5.0,1.0,1.0,1.2903225806451613,1.0,10.0,2.4210526315789473
1.0,4.0,1.0,2.2857142857142856,3.032258064516129,3.25,10.0,4.078947368421053
1.0,4.0,2.0,3.5714285714285716,2.161290322580645,1.75,9.196428571428573,2.4210526315789473
1.0,4.0,2.0,1.6428571428571428,2.161290322580645,1.75,9.678571428571427,1.9473684210526319
2.0,1.0,2.0,1.4285714285714284,1.0,1.375,9.035714285714285,1.4736842105263157
2.0,4.0,1.0,1.8571428571428572,2.741935483870968,2.875,9.357142857142858,2.8947368421052637
1.0,5.0,2.0,1.6428571428571428,2.741935483870968,3.25,9.357142857142858,1.4736842105263157
2.0,3.0,4.0,1.6428571428571428,1.5806451612903225,2.5,9.357142857142858,2.1842105263157894
1.0,4.0,2.0,1.8571428571428572,2.4516129032258065,2.5,8.232142857142858,2.4210526315789473
1.0,3.0,1.0,2.7142857142857144,3.032258064516129,7.375,9.035714285714285,5.973684210526316
2.0,4.0,2.0,3.142857142857143,2.741935483870968,2.5,9.517857142857142,2.6578947368421053
1.0,4.0,2.0,1.4285714285714284,1.870967741935484,3.25,9.357142857142858,2.4210526315789473
2.0,3.0,1.0,2.071428571428571,1.2903225806451613,1.375,7.9107142857142865,1.9473684210526319
2.0,3.0,2.0,1.6428571428571428,1.5806451612903225,1.75,9.357142857142858,1.9473684210526319
2.0,3.0,1.0,1.6428571428571428,2.161290322580645,1.375,9.357142857142858,2.1842105263157894
1.0,4.0,1.0,2.5,2.741935483870968,7.0,10.0,2.1842105263157894
1.0,4.0,1.0,2.7142857142857144,2.4516129032258065,7.375,9.196428571428573,4.078947368421053
1.0,1.0,2.0,2.5,2.4516129032258065,2.125,10.0,3.3684210526315788
2.0,1.0,1.0,3.7857142857142856,1.870967741935484,1.75,8.714285714285714,2.6578947368421053
1.0,1.0,3.0,1.6428571428571428,1.5806451612903225,2.125,8.875,1.7105263157894737
2.0,3.0,1.0,5.285714285714286,3.6129032258064515,1.75,10.0,7.157894736842105
2.0,4.0,1.0,5.285714285714286,3.6129032258064515,1.75,10.0,7.157894736842105
1.0,2.0,2.0,2.5,2.741935483870968,2.5,8.714285714285714,3.8421052631578947
2.0,3.0,1.0,2.2857142857142856,1.870967741935484,2.5,10.0,2.6578947368421053
2.0,3.0,1.0,1.8571428571428572,1.2903225806451613,1.75,9.196428571428573,2.6578947368421053
2.0,4.0,4.0,1.4285714285714284,1.870967741935484,1.0,8.553571428571429,1.9473684210526319
2.0,4.0,1.0,2.071428571428571,3.3225806451612905,2.875,9.517857142857142,4.078947368421053
2.0,3.0,1.0,2.2857142857142856,2.4516129032258065,3.25,10.0,4.078947368421053
1.0,4.0,2.0,3.357142857142857,4.193548387096774,2.875,8.714285714285714,2.1842105263157894
2.0,4.0,1.0,2.5,3.3225806451612905,7.375,10.0,3.3684210526315788
1.0,3.0,4.0,2.2857142857142856,2.741935483870968,2.875,9.678571428571427,1.9473684210526319
1.0,2.0,1.0,1.8571428571428572,2.4516129032258065,3.625,9.035714285714285,3.605263157894737
2.0,3.0,3.0,2.071428571428571,2.4516129032258065,1.75,8.875,4.552631578947368
1.0,4.0,1.0,1.8571428571428572,2.741935483870968,2.875,10.0,3.605263157894737
1.0,4.0,1.0,1.6428571428571428,2.741935483870968,7.0,10.0,2.4210526315789473
2.0,4.0,4.0,3.142857142857143,1.5806451612903225,10.0,8.875,2.1842105263157894
1.0,4.0,2.0,1.8571428571428572,2.161290322580645,1.375,9.035714285714285,2.4210526315789473
2.0,3.0,2.0,3.142857142857143,2.741935483870968,2.875,9.357142857142858,2.4210526315789473
1.0,4.0,1.0,2.5,2.4516129032258065,2.5,9.357142857142858,2.8947368421052637
2.0,3.0,1.0,2.5,2.4516129032258065,2.125,9.517857142857142,2.4210526315789473
1.0,2.0,1.0,1.8571428571428572,1.5806451612903225,2.125,8.875,2.1842105263157894
1.0,2.0,1.0,2.5,1.870967741935484,2.5,9.196428571428573,2.8947368421052637
1.0,4.0,1.0,2.071428571428571,2.741935483870968,3.625,10.0,2.8947368421052637
1.0,3.0,2.0,1.4285714285714284,2.161290322580645,1.75,9.357142857142858,2.8947368421052637
1.0,3.0,4.0,2.2857142857142856,2.741935483870968,2.875,9.678571428571427,1.9473684210526319
1.0,1.0,4.0,1.8571428571428572,2.741935483870968,2.875,9.517857142857142,2.6578947368421053
2.0,4.0,1.0,1.2142857142857144,1.870967741935484,1.75,9.357142857142858,3.605263157894737
1.0,3.0,2.0,1.2142857142857144,2.741935483870968,3.625,10.0,3.8421052631578947
1.0,4.0,1.0,1.8571428571428572,2.4516129032258065,2.875,9.678571428571427,3.3684210526315788
1.0,3.0,3.0,2.2857142857142856,2.741935483870968,2.5,9.357142857142858,2.4210526315789473
1.0,3.0,4.0,3.5714285714285716,5.354838709677419,3.25,9.357142857142858,4.315789473684211
1.0,4.0,4.0,1.8571428571428572,2.4516129032258065,3.25,9.678571428571427,1.7105263157894737
2.0,1.0,4.0,2.2857142857142856,2.4516129032258065,3.25,9.357142857142858,3.8421052631578947
2.0,3.0,1.0,2.928571428571429,3.3225806451612905,3.625,9.196428571428573,2.6578947368421053
1.0,5.0,1.0,1.8571428571428572,3.032258064516129,2.5,10.0,3.605263157894737
2.0,2.0,1.0,2.071428571428571,1.5806451612903225,2.875,9.035714285714285,2.8947368421052637
2.0,2.0,1.0,2.5,2.4516129032258065,1.75,9.517857142857142,2.6578947368421053
1.0,5.0,1.0,1.6428571428571428,2.4516129032258065,3.25,9.517857142857142,2.8947368421052637
1.0,3.0,3.0,2.7142857142857144,2.161290322580645,2.125,9.517857142857142,3.1315789473684212
2.0,4.0,1.0,4.214285714285714,5.645161290322581,3.25,9.517857142857142,6.210526315789474
1.0,4.0,1.0,1.6428571428571428,2.741935483870968,2.875,8.071428571428571,2.6578947368421053
1.0,3.0,3.0,1.8571428571428572,1.870967741935484,2.875,8.392857142857142,2.6578947368421053
1.0,5.0,1.0,2.5,1.870967741935484,1.75,8.875,3.3684210526315788
1.0,2.0,1.0,1.8571428571428572,2.741935483870968,2.5,10.0,2.1842105263157894
2.0,2.0,2.0,2.5,2.161290322580645,2.875,10.0,3.3684210526315788
1.0,2.0,3.0,2.071428571428571,2.4516129032258065,2.125,9.035714285714285,2.4210526315789473
2.0,3.0,1.0,2.2857142857142856,1.5806451612903225,1.75,10.0,2.4210526315789473
2.0,2.0,1.0,2.071428571428571,1.870967741935484,1.75,9.035714285714285,2.6578947368421053
1.0,3.0,2.0,1.8571428571428572,3.6129032258064515,3.625,6.7857142857142865,4.315789473684211
2.0,3.0,1.0,2.5,1.5806451612903225,2.125,6.4642857142857135,2.8947368421052637
1.0,2.0,1.0,2.7142857142857144,3.3225806451612905,3.25,9.678571428571427,5.2631578947368425
2.0,3.0,1.0,1.6428571428571428,3.3225806451612905,1.75,8.875,2.6578947368421053
1.0,5.0,1.0,4.0,3.3225806451612905,2.875,9.678571428571427,3.8421052631578947
2.0,3.0,1.0,2.928571428571429,2.4516129032258065,2.125,9.839285714285715,2.6578947368421053
1.0,3.0,1.0,2.7142857142857144,2.741935483870968,2.125,8.553571428571429,2.4210526315789473
1.0,2.0,1.0,2.5,2.741935483870968,2.875,8.553571428571429,2.8947368421052637
2.0,2.0,1.0,2.928571428571429,3.903225806451613,3.25,9.035714285714285,2.8947368421052637
2.0,3.0,1.0,5.5,1.5806451612903225,1.375,10.0,3.3684210526315788
2.0,4.0,2.0,2.7142857142857144,2.161290322580645,3.625,8.714285714285714,3.1315789473684212
2.0,3.0,2.0,2.7142857142857144,3.903225806451613,3.25,9.357142857142858,3.1315789473684212
1.0,4.0,1.0,2.7142857142857144,2.4516129032258065,2.5,9.035714285714285,2.1842105263157894
2.0,5.0,1.0,2.2857142857142856,3.903225806451613,3.625,8.553571428571429,3.605263157894737
1.0,3.0,3.0,6.142857142857143,2.4516129032258065,2.875,9.839285714285715,4.552631578947368
2.0,3.0,1.0,2.071428571428571,3.6129032258064515,3.625,8.875,3.605263157894737
1.0,3.0,1.0,4.0,2.4516129032258065,2.5,8.875,5.026315789473684
1.0,3.0,1.0,2.7142857142857144,3.3225806451612905,2.5,9.357142857142858,2.6578947368421053
2.0,5.0,1.0,2.928571428571429,1.870967741935484,2.875,8.071428571428571,3.3684210526315788
1.0,4.0,1.0,2.5,2.741935483870968,2.875,8.553571428571429,2.8947368421052637
1.0,3.0,2.0,2.7142857142857144,3.903225806451613,3.25,9.357142857142858,3.1315789473684212
1.0,4.0,1.0,1.2142857142857144,3.032258064516129,2.125,8.714285714285714,3.605263157894737
1.0,4.0,4.0,1.8571428571428572,3.032258064516129,3.625,9.196428571428573,2.1842105263157894
2.0,4.0,4.0,2.071428571428571,2.161290322580645,2.125,7.9107142857142865,2.1842105263157894
2.0,4.0,4.0,1.8571428571428572,2.161290322580645,3.625,9.357142857142858,1.4736842105263157
2.0,3.0,1.0,1.8571428571428572,3.6129032258064515,3.625,9.196428571428573,5.026315789473684
2.0,4.0,1.0,2.2857142857142856,3.3225806451612905,2.875,9.035714285714285,2.4210526315789473
2.0,4.0,1.0,2.5,3.032258064516129,3.625,10.0,4.078947368421053
1.0,4.0,1.0,1.6428571428571428,3.903225806451613,3.625,10.0,5.7368421052631575
2.0,3.0,2.0,2.7142857142857144,3.903225806451613,3.25,9.357142857142858,3.1315789473684212
1.0,3.0,4.0,4.214285714285714,3.903225806451613,3.25,9.357142857142858,2.8947368421052637
2.0,5.0,1.0,2.2857142857142856,2.161290322580645,1.375,9.035714285714285,2.1842105263157894
1.0,2.0,1.0,2.2857142857142856,1.870967741935484,2.5,9.196428571428573,2.4210526315789473
1.0,3.0,1.0,4.0,4.193548387096774,1.75,8.714285714285714,3.3684210526315788
1.0,3.0,4.0,2.5,2.741935483870968,2.5,9.678571428571427,2.8947368421052637
1.0,3.0,2.0,3.142857142857143,2.741935483870968,2.5,9.517857142857142,2.8947368421052637
2.0,4.0,1.0,2.071428571428571,2.4516129032258065,2.875,7.5892857142857135,3.3684210526315788
1.0,2.0,2.0,1.4285714285714284,1.0,1.375,8.071428571428571,1.236842105263158
2.0,2.0,2.0,1.0,1.0,1.75,8.714285714285714,1.4736842105263157
1.0,1.0,2.0,1.4285714285714284,1.5806451612903225,1.0,9.035714285714285,1.0
2.0,3.0,2.0,1.8571428571428572,1.870967741935484,2.875,9.196428571428573,4.078947368421053
2.0,2.0,1.0,1.8571428571428572,2.161290322580645,2.875,9.357142857142858,3.1315789473684212
2.0,3.0,1.0,2.7142857142857144,1.870967741935484,3.25,9.357142857142858,3.605263157894737
1.0,3.0,1.0,1.2142857142857144,1.870967741935484,1.375,9.839285714285715,1.9473684210526319
2.0,3.0,1.0,2.071428571428571,3.032258064516129,3.625,9.678571428571427,3.605263157894737
2.0,2.0,3.0,1.4285714285714284,1.5806451612903225,2.5,9.357142857142858,3.605263157894737
1.0,3.0,1.0,2.071428571428571,1.870967741935484,1.75,9.517857142857142,2.6578947368421053
1.0,4.0,1.0,1.6428571428571428,1.870967741935484,2.875,9.357142857142858,2.8947368421052637
2.0,2.0,1.0,1.4285714285714284,2.4516129032258065,2.125,8.875,2.6578947368421053
1.0,1.0,3.0,2.071428571428571,1.870967741935484,2.5,9.678571428571427,2.4210526315789473
1.0,3.0,1.0,2.071428571428571,2.161290322580645,1.75,9.196428571428573,2.8947368421052637
2.0,3.0,2.0,4.0,1.870967741935484,2.5,8.714285714285714,2.8947368421052637
1.0,3.0,4.0,1.8571428571428572,1.870967741935484,2.875,9.357142857142858,2.6578947368421053
1.0,4.0,1.0,1.6428571428571428,3.032258064516129,2.125,9.678571428571427,3.1315789473684212
1.0,5.0,1.0,1.6428571428571428,1.5806451612903225,1.75,8.875,1.4736842105263157
2.0,4.0,2.0,1.4285714285714284,1.2903225806451613,1.0,9.035714285714285,1.9473684210526319
2.0,3.0,1.0,2.928571428571429,2.4516129032258065,2.125,10.0,4.315789473684211
2.0,3.0,4.0,6.571428571428571,2.161290322580645,3.25,10.0,3.8421052631578947
1.0,2.0,3.0,1.8571428571428572,2.161290322580645,1.75,9.357142857142858,2.8947368421052637
2.0,2.0,1.0,4.214285714285714,3.6129032258064515,3.25,9.196428571428573,4.315789473684211
1.0,3.0,4.0,1.4285714285714284,1.870967741935484,1.0,9.678571428571427,2.4210526315789473
2.0,3.0,1.0,2.5,2.161290322580645,2.875,9.035714285714285,3.1315789473684212
2.0,4.0,1.0,3.7857142857142856,1.870967741935484,2.125,9.678571428571427,2.6578947368421053
2.0,4.0,1.0,2.5,3.3225806451612905,3.625,9.035714285714285,2.8947368421052637
2.0,5.0,1.0,2.7142857142857144,3.3225806451612905,1.75,10.0,2.6578947368421053
1.0,4.0,1.0,2.5,3.032258064516129,2.5,8.071428571428571,2.1842105263157894
2.0,3.0,1.0,2.5,1.5806451612903225,3.25,9.357142857142858,2.6578947368421053
2.0,5.0,1.0,1.4285714285714284,3.032258064516129,2.5,10.0,1.9473684210526319
1.0,1.0,1.0,1.4285714285714284,1.870967741935484,1.75,8.714285714285714,2.1842105263157894
2.0,3.0,1.0,2.5,3.6129032258064515,2.5,7.75,4.552631578947368
2.0,3.0,3.0,2.928571428571429,3.3225806451612905,3.25,9.196428571428573,3.3684210526315788
1.0,4.0,1.0,2.2857142857142856,2.741935483870968,2.875,9.357142857142858,2.8947368421052637
2.0,3.0,1.0,1.6428571428571428,2.4516129032258065,2.5,8.232142857142858,3.1315789473684212
1.0,4.0,1.0,1.6428571428571428,2.4516129032258065,3.25,9.035714285714285,3.8421052631578947
1.0,5.0,1.0,2.2857142857142856,4.483870967741936,3.25,10.0,2.8947368421052637
2.0,3.0,1.0,5.071428571428572,3.6129032258064515,1.75,4.857142857142858,2.8947368421052637
1.0,4.0,2.0,1.8571428571428572,1.870967741935484,1.75,9.196428571428573,2.6578947368421053
2.0,4.0,2.0,2.2857142857142856,1.870967741935484,2.5,9.035714285714285,3.1315789473684212
2.0,1.0,2.0,1.0,1.0,1.375,8.232142857142858,1.9473684210526319
1.0,3.0,1.0,5.071428571428572,1.5806451612903225,1.75,4.857142857142858,2.6578947368421053
1.0,4.0,2.0,4.214285714285714,2.4516129032258065,2.125,7.5892857142857135,2.4210526315789473
2.0,3.0,4.0,2.928571428571429,2.741935483870968,3.625,10.0,2.8947368421052637
2.0,5.0,1.0,2.071428571428571,1.5806451612903225,2.125,8.714285714285714,2.1842105263157894
1.0,4.0,1.0,2.2857142857142856,2.4516129032258065,1.0,9.517857142857142,2.8947368421052637
1.0,4.0,1.0,1.6428571428571428,2.741935483870968,2.5,8.071428571428571,2.6578947368421053
1.0,3.0,1.0,5.714285714285714,2.161290322580645,1.75,7.75,2.4210526315789473
2.0,3.0,1.0,5.714285714285714,2.161290322580645,1.75,7.75,2.4210526315789473
2.0,2.0,1.0,2.071428571428571,1.870967741935484,2.125,8.875,3.8421052631578947
2.0,2.0,1.0,1.6428571428571428,3.032258064516129,1.75,10.0,1.9473684210526319
1.0,1.0,2.0,2.071428571428571,3.3225806451612905,3.625,10.0,4.552631578947368
2.0,3.0,3.0,4.0,2.4516129032258065,1.375,8.392857142857142,2.6578947368421053
2.0,3.0,3.0,1.0,1.0,1.75,8.875,1.9473684210526319
2.0,3.0,4.0,1.8571428571428572,3.3225806451612905,2.125,9.517857142857142,3.1315789473684212
2.0,3.0,1.0,1.4285714285714284,3.032258064516129,3.25,9.357142857142858,2.8947368421052637
1.0,3.0,3.0,2.5,2.4516129032258065,2.5,8.714285714285714,2.8947368421052637
2.0,3.0,1.0,1.6428571428571428,1.5806451612903225,1.75,9.357142857142858,2.6578947368421053
1.0,3.0,3.0,1.8571428571428572,2.4516129032258065,1.75,7.9107142857142865,2.4210526315789473
1.0,4.0,4.0,1.8571428571428572,1.5806451612903225,1.375,8.875,2.1842105263157894
2.0,3.0,2.0,2.5,2.161290322580645,2.5,8.875,3.605263157894737
1.0,1.0,4.0,2.2857142857142856,1.5806451612903225,1.75,8.232142857142858,2.6578947368421053
1.0,3.0,1.0,1.4285714285714284,2.161290322580645,2.5,10.0,2.8947368421052637
1.0,3.0,3.0,2.071428571428571,5.354838709677419,2.875,9.035714285714285,4.078947368421053
1.0,3.0,3.0,1.4285714285714284,2.4516129032258065,4.75,9.839285714285715,2.4210526315789473
1.0,4.0,1.0,1.8571428571428572,1.5806451612903225,2.875,9.357142857142858,2.6578947368421053
1.0,4.0,1.0,2.2857142857142856,2.4516129032258065,2.875,8.232142857142858,4.078947368421053
2.0,3.0,1.0,2.071428571428571,1.870967741935484,1.75,10.0,3.3684210526315788
2.0,2.0,1.0,2.928571428571429,2.741935483870968,1.75,9.678571428571427,2.6578947368421053
1.0,5.0,1.0,2.2857142857142856,3.032258064516129,3.25,9.035714285714285,2.4210526315789473
2.0,2.0,1.0,1.2142857142857144,2.161290322580645,1.375,9.517857142857142,1.7105263157894737
2.0,4.0,1.0,3.357142857142857,2.741935483870968,2.125,10.0,3.3684210526315788
2.0,3.0,2.0,1.8571428571428572,1.2903225806451613,1.375,9.035714285714285,2.1842105263157894
2.0,3.0,2.0,2.071428571428571,1.5806451612903225,1.75,9.035714285714285,2.4210526315789473
2.0,3.0,1.0,1.6428571428571428,1.5806451612903225,2.125,9.035714285714285,2.1842105263157894
1.0,2.0,2.0,4.214285714285714,1.870967741935484,2.125,2.928571428571429,2.6578947368421053
1.0,3.0,2.0,3.357142857142857,2.4516129032258065,2.5,8.232142857142858,2.6578947368421053
1.0,2.0,1.0,2.7142857142857144,2.4516129032258065,2.875,9.035714285714285,2.8947368421052637
2.0,4.0,1.0,2.2857142857142856,2.4516129032258065,1.375,8.553571428571429,2.4210526315789473
1.0,4.0,1.0,1.8571428571428572,3.3225806451612905,1.75,10.0,4.078947368421053
2.0,5.0,1.0,5.071428571428572,4.483870967741936,5.5,7.267857142857142,3.1315789473684212
2.0,4.0,1.0,2.5,2.161290322580645,2.125,9.839285714285715,2.8947368421052637
2.0,3.0,2.0,1.8571428571428572,3.032258064516129,3.625,8.553571428571429,1.236842105263158
2.0,3.0,1.0,2.928571428571429,1.2903225806451613,3.25,9.357142857142858,2.4210526315789473
2.0,3.0,1.0,3.7857142857142856,2.161290322580645,2.5,8.071428571428571,2.8947368421052637
1.0,3.0,1.0,3.7857142857142856,2.161290322580645,2.5,8.553571428571429,2.8947368421052637
2.0,4.0,1.0,4.214285714285714,2.161290322580645,1.0,9.196428571428573,5.026315789473684
1.0,3.0,4.0,2.7142857142857144,3.903225806451613,2.5,9.517857142857142,2.8947368421052637
1.0,4.0,1.0,2.071428571428571,10.0,4.75,10.0,3.1315789473684212
1.0,1.0,1.0,2.2857142857142856,1.870967741935484,1.375,9.839285714285715,1.7105263157894737
2.0,4.0,4.0,1.0,1.5806451612903225,1.0,9.357142857142858,1.7105263157894737
1.0,1.0,3.0,2.928571428571429,2.4516129032258065,3.625,9.196428571428573,2.6578947368421053
1.0,2.0,3.0,2.071428571428571,1.870967741935484,2.5,9.196428571428573,2.6578947368421053
1.0,4.0,1.0,3.142857142857143,1.5806451612903225,1.75,9.035714285714285,1.7105263157894737
2.0,4.0,1.0,2.5,2.741935483870968,2.875,9.678571428571427,3.3684210526315788
2.0,4.0,1.0,2.2857142857142856,2.741935483870968,3.625,8.875,4.078947368421053
2.0,2.0,3.0,2.071428571428571,1.870967741935484,2.125,8.392857142857142,2.6578947368421053
2.0,3.0,3.0,3.142857142857143,1.870967741935484,2.875,9.035714285714285,3.605263157894737
1.0,5.0,1.0,2.928571428571429,3.032258064516129,3.625,9.035714285714285,2.8947368421052637
1.0,3.0,1.0,3.5714285714285716,3.3225806451612905,3.625,9.517857142857142,2.6578947368421053
2.0,1.0,1.0,2.071428571428571,2.161290322580645,2.125,9.517857142857142,2.6578947368421053
1.0,3.0,1.0,2.928571428571429,3.6129032258064515,3.625,9.035714285714285,3.3684210526315788
1.0,3.0,1.0,2.071428571428571,3.3225806451612905,3.25,9.035714285714285,5.026315789473684
2.0,1.0,3.0,2.5,2.161290322580645,2.125,8.875,1.4736842105263157
1.0,4.0,3.0,2.7142857142857144,1.5806451612903225,2.875,9.678571428571427,2.6578947368421053
2.0,4.0,1.0,2.2857142857142856,2.741935483870968,3.25,10.0,2.6578947368421053
2.0,2.0,3.0,2.928571428571429,3.3225806451612905,3.625,8.553571428571429,3.3684210526315788
1.0,2.0,1.0,2.7142857142857144,2.161290322580645,2.875,7.428571428571429,4.315789473684211
1.0,4.0,1.0,2.2857142857142856,2.161290322580645,2.125,9.678571428571427,2.4210526315789473
1.0,3.0,1.0,2.928571428571429,3.6129032258064515,2.5,9.035714285714285,2.4210526315789473
2.0,4.0,2.0,2.071428571428571,1.5806451612903225,1.75,9.517857142857142,1.7105263157894737
1.0,2.0,1.0,2.5,2.161290322580645,3.25,10.0,3.1315789473684212
2.0,2.0,3.0,1.6428571428571428,1.870967741935484,2.5,9.196428571428573,2.4210526315789473
2.0,2.0,4.0,1.8571428571428572,2.161290322580645,2.5,8.875,2.8947368421052637
2.0,3.0,1.0,2.7142857142857144,2.741935483870968,2.125,9.517857142857142,3.1315789473684212
2.0,3.0,3.0,2.5,2.161290322580645,1.75,9.678571428571427,2.8947368421052637
2.0,3.0,3.0,2.7142857142857144,2.161290322580645,1.75,9.357142857142858,2.8947368421052637
2.0,3.0,3.0,2.7142857142857144,3.3225806451612905,1.75,9.678571428571427,2.8947368421052637
2.0,3.0,3.0,2.5,3.3225806451612905,1.75,9.196428571428573,2.8947368421052637
1.0,2.0,2.0,3.7857142857142856,2.4516129032258065,2.125,9.517857142857142,3.3684210526315788
2.0,3.0,3.0,4.642857142857142,2.4516129032258065,2.875,9.196428571428573,2.6578947368421053
1.0,3.0,3.0,2.071428571428571,1.870967741935484,2.125,9.357142857142858,2.4210526315789473
1.0,3.0,2.0,2.2857142857142856,1.5806451612903225,1.75,7.75,2.8947368421052637
1.0,3.0,1.0,2.5,2.4516129032258065,3.625,8.553571428571429,2.6578947368421053
1.0,3.0,1.0,2.2857142857142856,1.870967741935484,2.125,9.357142857142858,2.4210526315789473
2.0,3.0,3.0,2.2857142857142856,1.870967741935484,2.5,8.071428571428571,3.1315789473684212
2.0,3.0,3.0,2.2857142857142856,1.870967741935484,2.125,9.678571428571427,3.1315789473684212
1.0,3.0,1.0,1.8571428571428572,1.870967741935484,1.0,8.553571428571429,2.1842105263157894
2.0,4.0,1.0,2.2857142857142856,1.5806451612903225,2.125,8.071428571428571,2.4210526315789473
1.0,4.0,1.0,2.071428571428571,1.870967741935484,2.5,7.9107142857142865,1.9473684210526319
1.0,1.0,1.0,4.214285714285714,2.161290322580645,2.125,9.678571428571427,3.1315789473684212
1.0,3.0,2.0,2.5,3.032258064516129,3.25,9.678571428571427,3.605263157894737
1.0,3.0,2.0,2.2857142857142856,4.774193548387097,2.875,9.839285714285715,4.552631578947368
2.0,3.0,1.0,2.928571428571429,2.4516129032258065,5.125,8.714285714285714,2.4210526315789473
2.0,4.0,3.0,2.7142857142857144,2.161290322580645,1.0,8.071428571428571,2.1842105263157894
2.0,4.0,1.0,1.6428571428571428,1.870967741935484,1.375,9.357142857142858,3.1315789473684212
1.0,4.0,2.0,1.4285714285714284,2.161290322580645,1.375,8.714285714285714,2.4210526315789473
1.0,4.0,1.0,1.6428571428571428,3.903225806451613,2.5,8.875,2.8947368421052637
2.0,5.0,1.0,1.8571428571428572,2.161290322580645,2.125,9.839285714285715,2.8947368421052637
1.0,2.0,3.0,2.071428571428571,3.3225806451612905,2.875,9.357142857142858,1.9473684210526319
1.0,3.0,1.0,2.2857142857142856,2.4516129032258065,1.375,9.035714285714285,2.8947368421052637
2.0,2.0,2.0,2.7142857142857144,3.903225806451613,3.25,9.357142857142858,3.1315789473684212
1.0,4.0,1.0,2.5,3.032258064516129,1.375,9.517857142857142,1.4736842105263157
1.0,3.0,1.0,3.7857142857142856,2.741935483870968,1.75,9.035714285714285,1.4736842105263157
2.0,3.0,1.0,3.5714285714285716,3.3225806451612905,7.375,8.232142857142858,2.4210526315789473
2.0,3.0,1.0,3.7857142857142856,2.4516129032258065,1.375,9.678571428571427,1.4736842105263157
2.0,5.0,4.0,5.071428571428572,2.4516129032258065,2.875,8.553571428571429,1.9473684210526319
1.0,4.0,1.0,2.2857142857142856,2.741935483870968,3.25,9.517857142857142,4.078947368421053
1.0,5.0,1.0,2.7142857142857144,2.4516129032258065,1.75,8.392857142857142,1.7105263157894737
1.0,5.0,1.0,5.071428571428572,4.774193548387097,2.5,9.517857142857142,2.6578947368421053
1.0,2.0,4.0,1.8571428571428572,3.032258064516129,4.375,9.035714285714285,3.3684210526315788
2.0,2.0,3.0,2.2857142857142856,2.741935483870968,1.75,8.392857142857142,1.4736842105263157
1.0,1.0,1.0,6.142857142857143,2.741935483870968,3.625,8.875,4.078947368421053
2.0,3.0,1.0,2.2857142857142856,1.870967741935484,1.0,9.357142857142858,1.9473684210526319
2.0,4.0,1.0,2.2857142857142856,1.870967741935484,1.0,9.357142857142858,1.9473684210526319
1.0,3.0,1.0,1.8571428571428572,3.6129032258064515,2.875,9.517857142857142,2.8947368421052637
2.0,3.0,1.0,4.428571428571429,3.032258064516129,5.125,6.946428571428571,3.3684210526315788
1.0,3.0,3.0,1.6428571428571428,2.161290322580645,2.125,10.0,1.4736842105263157
1.0,4.0,1.0,4.214285714285714,2.4516129032258065,2.5,9.196428571428573,2.1842105263157894
2.0,3.0,1.0,2.5,1.5806451612903225,1.0,10.0,1.4736842105263157
2.0,4.0,1.0,1.6428571428571428,2.741935483870968,2.875,9.035714285714285,3.1315789473684212
