sexo,escol,Tam_loc,agg_national_economic_outlook,agg_perceived_indigenous_discrimination,agg_social_distance_toward_indigenous_people
2.0,4.0,1.0,4.0,4.857142857142858,1.0
2.0,4.0,2.0,10.0,1.0,1.0
1.0,4.0,1.0,4.0,2.2857142857142856,1.0
1.0,5.0,1.0,4.0,3.5714285714285716,7.0
2.0,5.0,3.0,1.0,6.142857142857143,1.0
1.0,5.0,1.0,8.5,3.5714285714285716,7.0
1.0,5.0,1.0,4.0,2.2857142857142856,1.0
1.0,5.0,1.0,8.5,1.0,7.0
1.0,5.0,1.0,2.5,1.0,1.0
2.0,5.0,2.0,4.0,1.0,1.0
2.0,4.0,4.0,2.5,1.0,1.0
2.0,3.0,1.0,5.5,2.2857142857142856,1.0
1.0,4.0,1.0,1.0,3.5714285714285716,1.0
1.0,4.0,1.0,4.0,6.142857142857143,1.0
1.0,4.0,1.0,4.0,6.142857142857143,1.0
1.0,4.0,1.0,1.0,1.0,1.0
2.0,4.0,3.0,7.0,10.0,4.0
1.0,3.0,1.0,1.0,1.0,1.0
2.0,4.0,1.0,2.5,6.142857142857143,
2.0,4.0,1.0,2.5,1.0,1.0
1.0,4.0,2.0,10.0,1.0,1.0
2.0,4.0,1.0,2.5,3.5714285714285716,1.0
1.0,4.0,1.0,,4.857142857142858,1.0
1.0,4.0,1.0,7.0,1.0,1.0
1.0,4.0,1.0,1.0,4.857142857142858,1.0
1.0,4.0,1.0,2.5,1.0,1.0
1.0,4.0,1.0,2.5,1.0,1.0
1.0,4.0,1.0,2.5,3.5714285714285716,4.0
1.0,5.0,1.0,2.5,4.857142857142858,1.0
2.0,4.0,2.0,5.5,1.0,4.0
1.0,4.0,1.0,4.0,2.2857142857142856,4.0
1.0,4.0,1.0,4.0,3.5714285714285716,1.0
1.0,4.0,1.0,1.0,1.0,1.0
1.0,5.0,1.0,2.5,4.857142857142858,1.0
1.0,5.0,1.0,10.0,7.428571428571429,10.0
1.0,4.0,1.0,2.5,1.0,7.0
2.0,4.0,2.0,,8.714285714285715,1.0
1.0,4.0,1.0,8.5,6.142857142857143,1.0
1.0,4.0,1.0,4.0,1.0,1.0
2.0,4.0,3.0,2.5,2.2857142857142856,1.0
2.0,4.0,2.0,,2.2857142857142856,1.0
2.0,5.0,3.0,2.5,6.142857142857143,4.0
1.0,4.0,1.0,10.0,1.0,1.0
2.0,4.0,1.0,7.0,4.857142857142858,
1.0,4.0,3.0,4.0,4.857142857142858,
2.0,4.0,1.0,1.0,1.0,1.0
2.0,4.0,1.0,2.5,2.2857142857142856,1.0
2.0,4.0,1.0,1.0,2.2857142857142856,1.0
1.0,4.0,1.0,2.5,4.857142857142858,1.0
2.0,5.0,1.0,7.0,1.0,1.0
1.0,4.0,1.0,1.0,4.857142857142858,1.0
2.0,4.0,1.0,1.0,3.5714285714285716,1.0
2.0,3.0,3.0,2.5,2.2857142857142856,10.0
1.0,5.0,1.0,2.5,1.0,1.0
1.0,4.0,1.0,5.5,4.857142857142858,1.0
2.0,4.0,1.0,4.0,1.0,7.0
1.0,4.0,1.0,4.0,4.857142857142858,
1.0,5.0,2.0,4.0,3.5714285714285716,4.0
1.0,4.0,1.0,2.5,1.0,1.0
1.0,5.0,1.0,2.5,4.857142857142858,4.0
1.0,4.0,1.0,1.0,4.857142857142858,1.0
1.0,4.0,1.0,2.5,,4.0
1.0,4.0,1.0,,2.2857142857142856,1.0
2.0,4.0,1.0,2.5,2.2857142857142856,4.0
2.0,4.0,2.0,2.5,4.857142857142858,1.0
1.0,4.0,1.0,1.0,3.5714285714285716,4.0
2.0,4.0,1.0,4.0,2.2857142857142856,10.0
1.0,4.0,1.0,2.5,3.5714285714285716,1.0
2.0,4.0,1.0,4.0,4.857142857142858,4.0
1.0,5.0,1.0,4.0,2.2857142857142856,1.0
1.0,5.0,1.0,7.0,3.5714285714285716,7.0
2.0,4.0,1.0,1.0,4.857142857142858,4.0
1.0,4.0,1.0,4.0,2.2857142857142856,1.0
1.0,5.0,1.0,10.0,2.2857142857142856,1.0
2.0,4.0,1.0,4.0,1.0,7.0
1.0,4.0,2.0,1.0,1.0,1.0
1.0,4.0,1.0,7.0,6.142857142857143,4.0
2.0,4.0,1.0,1.0,1.0,1.0
2.0,4.0,3.0,8.5,,1.0
1.0,5.0,1.0,2.5,1.0,
2.0,5.0,1.0,7.0,3.5714285714285716,1.0
1.0,5.0,1.0,,2.2857142857142856,4.0
1.0,4.0,3.0,,1.0,1.0
1.0,4.0,2.0,5.5,2.2857142857142856,7.0
1.0,5.0,1.0,1.0,3.5714285714285716,1.0
2.0,5.0,1.0,1.0,3.5714285714285716,1.0
1.0,5.0,1.0,7.0,3.5714285714285716,1.0
1.0,5.0,1.0,1.0,2.2857142857142856,1.0
1.0,4.0,3.0,7.0,,4.0
2.0,5.0,3.0,7.0,1.0,1.0
1.0,5.0,1.0,4.0,3.5714285714285716,
2.0,4.0,1.0,1.0,1.0,1.0
2.0,5.0,1.0,5.5,3.5714285714285716,1.0
2.0,4.0,1.0,2.5,2.2857142857142856,
1.0,4.0,1.0,2.5,1.0,1.0
1.0,5.0,2.0,2.5,1.0,1.0
2.0,4.0,1.0,5.5,1.0,1.0
1.0,5.0,1.0,2.5,3.5714285714285716,1.0
2.0,5.0,1.0,1.0,1.0,1.0
2.0,4.0,2.0,,1.0,1.0
1.0,5.0,1.0,4.0,2.2857142857142856,1.0
2.0,5.0,1.0,1.0,1.0,1.0
1.0,4.0,1.0,1.0,1.0,1.0
1.0,5.0,1.0,2.5,1.0,1.0
1.0,5.0,1.0,7.0,3.5714285714285716,1.0
1.0,5.0,1.0,4.0,3.5714285714285716,1.0
1.0,5.0,1.0,1.0,3.5714285714285716,1.0
2.0,4.0,1.0,4.0,6.142857142857143,4.0
1.0,5.0,1.0,8.5,4.857142857142858,4.0
1.0,5.0,3.0,2.5,1.0,4.0
2.0,4.0,2.0,10.0,7.428571428571429,1.0
1.0,5.0,1.0,1.0,3.5714285714285716,1.0
1.0,5.0,1.0,2.5,1.0,4.0
2.0,5.0,1.0,7.0,4.857142857142858,4.0
2.0,5.0,1.0,4.0,3.5714285714285716,1.0
2.0,5.0,1.0,7.0,4.857142857142858,
1.0,5.0,2.0,1.0,1.0,1.0
2.0,4.0,1.0,4.0,1.0,1.0
2.0,5.0,1.0,1.0,2.2857142857142856,1.0
1.0,5.0,2.0,4.0,3.5714285714285716,1.0
1.0,5.0,1.0,8.5,3.5714285714285716,4.0
1.0,5.0,1.0,2.5,1.0,1.0
2.0,5.0,1.0,2.5,4.857142857142858,1.0
1.0,4.0,2.0,4.0,3.5714285714285716,1.0
2.0,5.0,3.0,2.5,1.0,1.0
1.0,5.0,3.0,8.5,3.5714285714285716,
1.0,4.0,3.0,,2.2857142857142856,4.0
2.0,5.0,4.0,5.5,1.0,1.0
1.0,4.0,3.0,8.5,7.428571428571429,1.0
1.0,5.0,1.0,1.0,3.5714285714285716,1.0
1.0,4.0,3.0,1.0,4.857142857142858,1.0
2.0,4.0,1.0,1.0,1.0,1.0
2.0,5.0,4.0,1.0,2.2857142857142856,1.0
1.0,4.0,2.0,1.0,1.0,1.0
2.0,5.0,1.0,8.5,1.0,4.0
2.0,4.0,1.0,4.0,3.5714285714285716,1.0
2.0,5.0,1.0,2.5,3.5714285714285716,1.0
2.0,5.0,1.0,2.5,3.5714285714285716,7.0
1.0,5.0,1.0,1.0,4.857142857142858,1.0
1.0,5.0,1.0,2.5,3.5714285714285716,1.0
1.0,5.0,1.0,,2.2857142857142856,4.0
2.0,5.0,1.0,1.0,4.857142857142858,4.0
2.0,4.0,1.0,4.0,4.857142857142858,
1.0,5.0,1.0,1.0,1.0,1.0
1.0,4.0,3.0,7.0,2.2857142857142856,1.0
1.0,5.0,4.0,4.0,1.0,1.0
1.0,4.0,1.0,1.0,1.0,1.0
1.0,4.0,1.0,1.0,7.428571428571429,1.0
1.0,5.0,1.0,8.5,1.0,10.0
2.0,5.0,1.0,4.0,3.5714285714285716,1.0
1.0,5.0,2.0,,4.857142857142858,1.0
2.0,5.0,2.0,5.5,6.142857142857143,1.0
1.0,5.0,1.0,5.5,3.5714285714285716,4.0
1.0,5.0,1.0,1.0,2.2857142857142856,1.0
2.0,5.0,3.0,,3.5714285714285716,
