sexo,escol,Tam_loc,agg_sexual_and_reproductive_attitudes,agg_tolerance_of_gender_based_violence,agg_traditional_gender_role_attitudes
2.0,4.0,1.0,1.0,1.0,4.214285714285714
2.0,2.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,3.0,3.25,1.0,2.928571428571429
2.0,3.0,3.0,1.0,2.125,1.6428571428571428
1.0,3.0,3.0,3.25,1.0,3.5714285714285716
1.0,3.0,3.0,1.0,1.0,4.214285714285714
2.0,1.0,3.0,1.0,1.0,6.142857142857143
1.0,1.0,3.0,8.875,1.0,1.6428571428571428
2.0,4.0,3.0,1.0,1.0,5.5
1.0,4.0,3.0,2.125,1.0,4.857142857142858
1.0,2.0,3.0,1.0,1.0,1.0
2.0,4.0,3.0,1.0,1.0,3.5714285714285716
1.0,3.0,3.0,1.0,1.0,3.5714285714285716
2.0,3.0,3.0,1.0,1.0,6.142857142857143
2.0,4.0,3.0,1.0,1.0,4.214285714285714
1.0,2.0,3.0,8.875,1.0,2.928571428571429
1.0,3.0,3.0,3.25,1.0,4.214285714285714
2.0,2.0,3.0,1.0,1.0,3.5714285714285716
2.0,2.0,3.0,1.0,1.0,6.142857142857143
1.0,3.0,3.0,1.0,1.0,3.5714285714285716
2.0,2.0,3.0,2.125,1.0,1.0
1.0,4.0,3.0,1.0,1.0,6.142857142857143
2.0,3.0,3.0,8.875,1.0,1.0
1.0,2.0,3.0,1.0,8.875,3.5714285714285716
2.0,2.0,3.0,1.0,1.0,6.142857142857143
1.0,2.0,3.0,1.0,1.0,2.928571428571429
2.0,4.0,1.0,1.0,2.125,6.142857142857143
2.0,3.0,1.0,1.0,1.0,5.5
1.0,4.0,1.0,1.0,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,4.857142857142858
1.0,4.0,1.0,1.0,1.0,2.928571428571429
1.0,3.0,1.0,1.0,1.0,3.5714285714285716
2.0,4.0,1.0,1.0,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,3.5714285714285716
1.0,4.0,1.0,1.0,1.0,4.214285714285714
1.0,5.0,1.0,2.125,1.0,4.857142857142858
2.0,3.0,1.0,1.0,1.0,5.5
2.0,2.0,1.0,1.0,1.0,3.5714285714285716
2.0,3.0,1.0,1.0,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,4.857142857142858
1.0,2.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,4.214285714285714
2.0,4.0,1.0,1.0,1.0,3.5714285714285716
2.0,3.0,1.0,1.0,1.0,2.2857142857142856
1.0,4.0,1.0,1.0,1.0,2.928571428571429
1.0,3.0,1.0,1.0,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,1.0,1.0,1.0,1.6428571428571428
1.0,5.0,1.0,4.375,1.0,5.5
2.0,5.0,1.0,2.125,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,6.142857142857143
2.0,4.0,1.0,1.0,1.0,6.142857142857143
2.0,4.0,1.0,1.0,1.0,6.142857142857143
1.0,3.0,1.0,1.0,1.0,3.5714285714285716
1.0,4.0,1.0,1.0,1.0,2.928571428571429
2.0,4.0,1.0,3.25,1.0,4.214285714285714
1.0,4.0,1.0,1.0,1.0,6.142857142857143
2.0,4.0,1.0,3.25,1.0,4.214285714285714
1.0,4.0,1.0,2.125,1.0,4.857142857142858
2.0,3.0,1.0,1.0,1.0,4.214285714285714
1.0,4.0,1.0,1.0,1.0,6.142857142857143
1.0,5.0,1.0,1.0,1.0,4.857142857142858
2.0,3.0,1.0,1.0,1.0,6.142857142857143
1.0,5.0,1.0,1.0,1.0,4.214285714285714
2.0,4.0,1.0,1.0,1.0,6.142857142857143
2.0,3.0,1.0,1.0,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,1.0
2.0,4.0,1.0,1.0,1.0,3.5714285714285716
2.0,1.0,1.0,2.125,1.0,1.0
1.0,4.0,1.0,1.0,1.0,6.142857142857143
1.0,2.0,1.0,1.0,1.0,2.2857142857142856
2.0,2.0,1.0,2.125,1.0,4.214285714285714
2.0,3.0,1.0,1.0,1.0,4.214285714285714
2.0,3.0,1.0,2.125,1.0,4.214285714285714
2.0,1.0,1.0,1.0,1.0,3.5714285714285716
1.0,3.0,1.0,3.25,8.875,1.0
1.0,3.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,3.5714285714285716
1.0,2.0,1.0,1.0,1.0,2.2857142857142856
2.0,3.0,1.0,8.875,1.0,2.928571428571429
1.0,4.0,1.0,1.0,1.0,2.928571428571429
1.0,3.0,1.0,3.25,1.0,6.142857142857143
2.0,4.0,4.0,1.0,1.0,6.142857142857143
2.0,4.0,4.0,1.0,1.0,3.5714285714285716
2.0,1.0,4.0,1.0,1.0,6.142857142857143
2.0,3.0,4.0,2.125,1.0,3.5714285714285716
1.0,2.0,4.0,1.0,1.0,6.142857142857143
1.0,4.0,4.0,1.0,1.0,2.2857142857142856
2.0,2.0,4.0,1.0,1.0,3.5714285714285716
2.0,4.0,4.0,8.875,1.0,2.928571428571429
2.0,2.0,4.0,1.0,1.0,2.2857142857142856
2.0,1.0,4.0,1.0,1.0,2.928571428571429
2.0,4.0,4.0,1.0,1.0,2.2857142857142856
1.0,4.0,4.0,1.0,1.0,2.928571428571429
1.0,3.0,1.0,8.875,8.875,1.0
2.0,1.0,1.0,1.0,2.125,1.0
1.0,3.0,1.0,8.875,8.875,1.6428571428571428
1.0,3.0,1.0,1.0,2.125,1.0
2.0,3.0,1.0,2.125,2.125,6.142857142857143
2.0,1.0,1.0,1.0,1.0,4.857142857142858
2.0,2.0,1.0,8.875,2.125,2.2857142857142856
1.0,3.0,1.0,1.0,1.0,1.0
2.0,3.0,1.0,3.25,1.0,6.142857142857143
1.0,2.0,1.0,1.0,1.0,6.142857142857143
1.0,4.0,1.0,2.125,2.125,2.928571428571429
1.0,3.0,1.0,2.125,2.125,6.142857142857143
1.0,3.0,1.0,1.0,1.0,1.6428571428571428
1.0,4.0,1.0,3.25,1.0,3.5714285714285716
2.0,4.0,1.0,1.0,1.0,4.214285714285714
2.0,3.0,1.0,1.0,1.0,2.928571428571429
2.0,3.0,1.0,1.0,1.0,1.6428571428571428
2.0,4.0,1.0,1.0,1.0,3.5714285714285716
1.0,4.0,1.0,1.0,1.0,4.214285714285714
1.0,4.0,1.0,1.0,8.875,2.928571428571429
1.0,3.0,1.0,1.0,1.0,2.928571428571429
2.0,4.0,1.0,2.125,1.0,2.928571428571429
2.0,4.0,1.0,1.0,1.0,2.928571428571429
2.0,4.0,1.0,3.25,1.0,5.5
1.0,1.0,2.0,1.0,1.0,6.142857142857143
1.0,4.0,2.0,1.0,1.0,3.5714285714285716
1.0,4.0,2.0,1.0,1.0,6.142857142857143
2.0,4.0,2.0,1.0,1.0,6.142857142857143
2.0,3.0,2.0,1.0,1.0,6.142857142857143
2.0,4.0,2.0,1.0,1.0,1.6428571428571428
1.0,4.0,2.0,1.0,1.0,1.6428571428571428
2.0,4.0,2.0,1.0,1.0,2.2857142857142856
1.0,4.0,2.0,1.0,1.0,4.857142857142858
2.0,4.0,2.0,1.0,1.0,2.2857142857142856
1.0,4.0,2.0,3.25,1.0,2.2857142857142856
2.0,3.0,2.0,1.0,1.0,2.928571428571429
2.0,4.0,2.0,1.0,1.0,4.857142857142858
2.0,3.0,2.0,1.0,1.0,2.928571428571429
2.0,5.0,2.0,1.0,1.0,2.928571428571429
2.0,4.0,2.0,1.0,1.0,4.214285714285714
1.0,4.0,2.0,1.0,1.0,2.928571428571429
2.0,4.0,2.0,1.0,1.0,4.857142857142858
2.0,5.0,2.0,2.125,1.0,5.5
2.0,3.0,2.0,1.0,1.0,2.2857142857142856
2.0,5.0,2.0,1.0,1.0,2.2857142857142856
2.0,4.0,2.0,1.0,1.0,3.5714285714285716
1.0,2.0,2.0,1.0,1.0,1.6428571428571428
2.0,4.0,2.0,3.25,1.0,2.2857142857142856
2.0,2.0,2.0,1.0,1.0,4.214285714285714
2.0,3.0,2.0,8.875,1.0,4.214285714285714
1.0,4.0,2.0,8.875,1.0,7.428571428571429
2.0,4.0,2.0,8.875,1.0,4.214285714285714
2.0,4.0,2.0,3.25,1.0,3.5714285714285716
2.0,4.0,2.0,1.0,1.0,4.214285714285714
2.0,3.0,2.0,1.0,1.0,2.2857142857142856
1.0,3.0,2.0,1.0,1.0,3.5714285714285716
2.0,2.0,2.0,1.0,1.0,4.857142857142858
2.0,3.0,2.0,1.0,2.125,6.142857142857143
1.0,3.0,2.0,1.0,1.0,6.142857142857143
2.0,3.0,2.0,8.875,1.0,5.5
2.0,4.0,2.0,8.875,1.0,6.142857142857143
2.0,2.0,2.0,1.0,1.0,6.142857142857143
1.0,4.0,2.0,1.0,1.0,6.142857142857143
1.0,3.0,2.0,1.0,1.0,4.214285714285714
2.0,4.0,2.0,3.25,1.0,6.142857142857143
2.0,4.0,2.0,8.875,1.0,6.142857142857143
2.0,3.0,2.0,1.0,1.0,4.214285714285714
1.0,4.0,2.0,8.875,1.0,2.2857142857142856
2.0,3.0,2.0,1.0,1.0,1.6428571428571428
2.0,1.0,2.0,8.875,1.0,3.5714285714285716
1.0,2.0,2.0,1.0,1.0,4.857142857142858
2.0,3.0,2.0,1.0,1.0,6.142857142857143
1.0,4.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,3.5714285714285716
1.0,3.0,1.0,1.0,1.0,1.6428571428571428
2.0,3.0,1.0,3.25,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,1.0,2.125,1.0,5.5
2.0,3.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,4.857142857142858
2.0,4.0,1.0,2.125,1.0,5.5
2.0,4.0,1.0,1.0,1.0,2.2857142857142856
1.0,3.0,1.0,1.0,1.0,1.6428571428571428
2.0,4.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,2.125,1.0,5.5
1.0,4.0,1.0,1.0,1.0,3.5714285714285716
2.0,3.0,1.0,1.0,1.0,2.928571428571429
2.0,1.0,1.0,1.0,1.0,1.0
2.0,3.0,1.0,1.0,1.0,4.214285714285714
1.0,3.0,1.0,1.0,1.0,4.857142857142858
2.0,3.0,1.0,2.125,1.0,3.5714285714285716
2.0,2.0,1.0,1.0,1.0,2.2857142857142856
1.0,3.0,1.0,1.0,1.0,2.2857142857142856
2.0,3.0,1.0,1.0,1.0,6.142857142857143
2.0,2.0,1.0,1.0,1.0,3.5714285714285716
2.0,2.0,1.0,3.25,1.0,6.142857142857143
2.0,3.0,1.0,1.0,1.0,6.142857142857143
2.0,2.0,1.0,1.0,1.0,6.142857142857143
1.0,2.0,1.0,1.0,1.0,1.0
2.0,2.0,1.0,1.0,1.0,6.142857142857143
2.0,2.0,1.0,10.0,1.0,3.5714285714285716
